window: 15, 0, 0
window: 132, 0, 18201fe
window: 32, 850716, 2000001
window: 512, 0, 18201fe
window: 15, 0, 0
window: 132, 0, 18301fd
window: 32, 850716, 2000001
window: 512, 0, 18301fd
window: 15, 0, 0
window: 132, 0, 18301fc
window: 32, 850716, 2000001
window: 512, 0, 18301fc
window: 15, 0, 0
window: 15, 0, 0
window: 132, 0, 18501fa
window: 32, 850716, 2000001
window: 512, 0, 18501fa
window: 15, 0, 0
window: 132, 0, 18901f6
window: 32, 850716, 2000001
window: 512, 0, 18901f6
window: 15, 0, 0
window: 132, 0, 18c01f2
window: 32, 850716, 2000001
window: 512, 0, 18c01f2
window: 15, 0, 0
window: 15, 0, 0
window: 132, 0, 18f01ee
window: 32, 850716, 2000001
window: 512, 0, 18f01ee
window: 15, 0, 0
window: 132, 0, 18f01ee
window: 132, 0, 19201ea
window: 32, 850716, 2000001
window: 512, 0, 19201ea
window: 15, 0, 0
window: 132, 0, 19601e7
window: 32, 850716, 2000001
window: 512, 0, 19601e7
window: 15, 0, 0
window: 15, 0, 0
window: 132, 0, 19801e3
window: 32, 850716, 2000001
window: 512, 0, 19801e3
window: 15, 0, 0
window: 132, 0, 19b01dd
window: 32, 850716, 2000001
window: 512, 0, 19b01dd
window: 15, 0, 0
window: 132, 0, 19f01db
window: 32, 850716, 2000001
window: 512, 0, 19f01db
window: 15, 0, 0
window: 15, 0, 0
window: 132, 0, 1a101d7
window: 32, 850716, 2000001
window: 512, 0, 1a101d7
window: 15, 0, 0
window: 132, 0, 1a401d5
window: 32, 850716, 2000001
window: 512, 0, 1a401d5
window: 15, 0, 0
window: 132, 0, 1a601d2
window: 32, 850716, 2000001
window: 512, 0, 1a601d2
window: 15, 0, 0
window: 132, 0, 1a601d2
window: 15, 0, 0
window: 132, 0, 1a701d0
window: 32, 850716, 2000001
window: 512, 0, 1a701d0
window: 15, 0, 0
window: 132, 0, 1aa01cc
window: 32, 850716, 2000001
window: 512, 0, 1aa01cc
window: 15, 0, 0
window: 132, 0, 1ab01ca
window: 32, 850716, 2000001
window: 512, 0, 1ab01ca
window: 15, 0, 0
window: 15, 0, 0
window: 132, 0, 1ab01c8
window: 32, 850716, 2000001
window: 512, 0, 1ab01c8
window: 15, 0, 0
window: 132, 0, 1ac01c4
window: 32, 850716, 2000001
window: 512, 0, 1ac01c4
window: 15, 0, 0
window: 15, 0, 0
window: 132, 0, 1ac01c2
window: 32, 850716, 2000001
window: 512, 0, 1ac01c2
window: 15, 0, 0
window: 132, 0, 1ac01c0
window: 32, 850716, 2000001
